listing_id,title,subtitle,variant,model_group,transmission,price,currency,price_superscript,is_conditional_price,mileage,first_registration,fuel_or_powertrain,power_kw,power_hp,wltp_consumption,wltp_co2_emissions,seller_name,seller_type,dealer_id,seller_phone,seller_rating_stars,seller_rating_count,seller_info_url,seller_imprint_url,seller_location,country_code,zip_code,city,street,image_count,primary_image_url,has_360_image,available_now,vat_deductible,delivery_possible,listing_url,raw_card_text,warranty_exists,warranty_text,has_full_service_history,had_accident,damage_conditions,previous_owner_count,body_type,door_count,seat_count,exterior_color,paint_type,interior_color,upholstery_material,battery_ownership,battery_charging_time,electric_range,electric_range_city,secondary_scrape_status,secondary_scrape_error
b17df4dd-6082-43ab-86bc-78d8536b8267,Audi Q4 e-tron Q4 40 e-tron 406km/WLTP*LED*Assistenzpaket*EPH,Q4 40 e-tron 406km/WLTP*LED*Assistenzpaket*EPH,Q4 e-tron,Q4 e-tron,Automatic,"36,290",€,1.0,False,"8,816 km",10/2025,Electric,150,204,16.8 kWh/100 km (comb.),0 g/km (comb.),Gelder und Sorg Schweinfurt GmbH und Co. KG,Dealer,41253407,+49 (0)9721 - 7569987,4.0,3.0,https://www.autoscout24.com/dealerinfo/gelder-und-sorg-schweinfurt-gmbh-und-co-kg-schweinfurt-97424-2?atype=C,https://www.autoscout24.com/dealerinfo/gelder-und-sorg-schweinfurt-gmbh-und-co-kg-schweinfurt-97424-2/imprint,DE-97424 Schweinfurt,DE,97424,Schweinfurt,Stockholmstraße 2,11,https://prod.pictures.autoscout24.net/listing-images/b17df4dd-6082-43ab-86bc-78d8536b8267_1530ff82-97c8-45ad-a55b-7d11bdb93a75.jpg/250x188.webp,,True,,,https://www.autoscout24.com/offers/audi-q4-e-tron-q4-40-e-tron-406km-wltp-led-assistenzpaket-eph-electric-grey-b17df4dd-6082-43ab-86bc-78d8536b8267,"Audi Q4 e-tron Q4 40 e-tron 406km/WLTP*LED*Assistenzpaket*EPH Add to list 11 € 36,2901 From 515 € p.m. financing From 12,41 € p.m. insurance 10/2025 8,816 km Electric 150 kW (204 hp) Gelder und Sorg Schweinfurt GmbH und Co. KG DE-97424 Schweinfurt + Show more vehicles",True,53 months,True,False,,1.0,SUV/Off-Road/Pick-Up,5.0,5.0,Grey,,Black,Cloth,,,406 km,,ok,
9eacb0b7-e091-4fdc-ad2e-5ee45811b18c,"Audi Q4 e-tron 45 qu Kamera,Navi,LED,Sportsitze,AHK","45 qu Kamera,Navi,LED,Sportsitze,AHK",Q4 e-tron Sportback,Q4 e-tron,Automatic,"38,880",€,1.0,False,"30,400 km",04/2024,Electric,210,286,17.1 kWh/100 km (comb.),0 g/km (comb.),Feser-Höchstadt,Dealer,34463580,+49 (0)9193 - 6864902,4.0,9.0,https://www.autoscout24.com/dealerinfo/feser-hoechstadt-hoechstadt?atype=C,https://www.autoscout24.com/dealerinfo/feser-hoechstadt-hoechstadt/imprint,DE-91315 Höchstadt,DE,91315,Höchstadt,Fürther Straße 12a,16,https://prod.pictures.autoscout24.net/listing-images/9eacb0b7-e091-4fdc-ad2e-5ee45811b18c_d755e0ae-6a99-4490-9e75-687ac236489c.jpg/250x188.webp,,True,,,https://www.autoscout24.com/offers/audi-q4-e-tron-45-qu-kamera-navi-led-sportsitze-ahk-electric-grey-9eacb0b7-e091-4fdc-ad2e-5ee45811b18c,"Audi Q4 e-tron 45 qu Kamera,Navi,LED,Sportsitze,AHK Add to list 16 € 38,8801 From 552 € p.m. financing Compare car insurances 04/2024 30,400 km Electric 210 kW (286 hp) Feser-Höchstadt DE-91315 Höchstadt + Show more vehicles",True,12 months,False,False,,1.0,SUV/Off-Road/Pick-Up,5.0,5.0,Grey,Others,Black,Cloth,,,510 km,,ok,
ae1bd0c6-74a3-4117-9c0c-9a86cac10185,Audi Q4 e-tron Sportback 40 advanced Nav+ Matrix Assistenz+ RK...,Sportback 40 advanced Nav+ Matrix Assistenz+ RK...,Q4 e-tron Sportback,Q4 e-tron,Automatic,"29,880",€,1.0,False,"71,632 km",11/2022,Electric,150,204,,,Knubel GmbH & Co. KG,Dealer,21951,+49 (0)251 - 97593090,4.5,58.0,https://www.autoscout24.com/dealerinfo/knubel-gmbh-und-co-kg-muenster-48163?atype=C,https://www.autoscout24.com/dealerinfo/knubel-gmbh-und-co-kg-muenster-48163/imprint,DE-48163 Münster,DE,48163,Münster,Weseler Str. 485,16,https://prod.pictures.autoscout24.net/listing-images/ae1bd0c6-74a3-4117-9c0c-9a86cac10185_d97ddaab-ad17-4e15-93cb-e9255c490498.jpg/250x188.webp,,True,,,https://www.autoscout24.com/offers/audi-q4-e-tron-sportback-40-advanced-nav-matrix-assistenz-rk-electric-grey-ae1bd0c6-74a3-4117-9c0c-9a86cac10185,"Audi Q4 e-tron Sportback 40 advanced Nav+ Matrix Assistenz+ RK... Add to list 16 € 29,8801 From 424 € p.m. financing From 12,41 € p.m. insurance 11/2022 71,632 km Electric 150 kW (204 hp) Knubel GmbH & Co. KG DE-48163 Münster + Show more vehicles",True,12 months,True,False,,1.0,SUV/Off-Road/Pick-Up,5.0,5.0,Grey,Metallic,Black,Cloth,Included,29 min,479 km,,ok,
9efc4a78-4332-4fd3-8bd5-a140c250a0d5,Audi Q4 e-tron 40 82 kWh S-LineINT*Matrix*AHK*RFK*ACC,40 82 kWh S-LineINT*Matrix*AHK*RFK*ACC,Q4 e-tron,Q4 e-tron,Automatic,"36,979",€,1.0,False,"30,276 km",05/2023,Electric,150,204,17.9 kWh/100 km (comb.),0 g/km (comb.),AFA Autohaus Gera-Nord GmbH,Dealer,16816573,+49 (0)365 - 430396896,4.5,57.0,https://www.autoscout24.com/dealerinfo/afa-autohaus-gera-nord-gmbh-gera?atype=C,https://www.autoscout24.com/dealerinfo/afa-autohaus-gera-nord-gmbh-gera/imprint,DE-07546 Gera,DE,7546,Gera,Siemensstrasse 47,15,https://prod.pictures.autoscout24.net/listing-images/9efc4a78-4332-4fd3-8bd5-a140c250a0d5_5a65b502-4280-496c-affe-871d40a61cdb.jpg/250x188.webp,,True,,,https://www.autoscout24.com/offers/audi-q4-e-tron-40-82-kwh-s-lineint-matrix-ahk-rfk-acc-electric-grey-9efc4a78-4332-4fd3-8bd5-a140c250a0d5,"Audi Q4 e-tron 40 82 kWh S-LineINT*Matrix*AHK*RFK*ACC Add to list 15 € 36,9791 From 525 € p.m. financing From 12,41 € p.m. insurance 05/2023 30,276 km Electric 150 kW (204 hp) AFA Autohaus Gera-Nord GmbH DE-07546 Gera",True,12 months,True,,,1.0,SUV/Off-Road/Pick-Up,5.0,5.0,Grey,Others,Black,Part leather,Included,,492 km,,ok,
71ec55e0-66a2-4aa4-b447-0e5d792d6053,Audi Q4 e-tron 45 S line Edition Matrix/HuD/Navi+,45 S line Edition Matrix/HuD/Navi+,Q4 e-tron,Q4 e-tron,Automatic,"49,989",€,1.0,False,"2,820 km",08/2025,Electric,210,286,,,Audi München GmbH,Dealer,14856243,+49 (0)89 - 5419488039,4.5,160.0,https://www.autoscout24.com/dealerinfo/audi-muenchen-gmbh-eching?atype=C,https://www.autoscout24.com/dealerinfo/audi-muenchen-gmbh-eching/imprint,DE-85386 Eching,DE,85386,Eching,Heisenbergstrasse 4,15,https://prod.pictures.autoscout24.net/listing-images/71ec55e0-66a2-4aa4-b447-0e5d792d6053_e382ed95-1d5a-4ba3-9a3c-4b04ace7bec6.jpg/250x188.webp,,True,,,https://www.autoscout24.com/offers/audi-q4-e-tron-45-s-line-edition-matrix-hud-navi-electric-grey-71ec55e0-66a2-4aa4-b447-0e5d792d6053,"Audi Q4 e-tron 45 S line Edition Matrix/HuD/Navi+ Add to list 15 € 49,9891 08/2025 2,820 km Electric 210 kW (286 hp) Audi München GmbH DE-85386 Eching",True,,True,False,,1.0,SUV/Off-Road/Pick-Up,5.0,5.0,Grey,,Black,Full leather,,,456 km,,ok,
e19ccd02-982d-4fcd-b521-fe14336043a8,Audi Q4 e-tron 50 quattro LED+ACC+NAVI+RFK+SHZ+LEDER+CARPLAY,50 quattro LED+ACC+NAVI+RFK+SHZ+LEDER+CARPLAY,Q4 e-tron,Q4 e-tron,Automatic,"39,990",€,,False,"25,341 km",10/2023,Electric,220,299,20.1 kWh/100 km (comb.),0 g/km (comb.),Audi Zentrum Köln,Dealer,41217290,+49 (0)221 - 37683378,4.5,13.0,https://www.autoscout24.com/dealerinfo/audi-zentrum-koeln-koeln-raderberg?atype=C,https://www.autoscout24.com/dealerinfo/audi-zentrum-koeln-koeln-raderberg/imprint,DE-50968 Köln (Raderberg),DE,50968,Köln (Raderberg),Bonner Str. 328,15,https://prod.pictures.autoscout24.net/listing-images/e19ccd02-982d-4fcd-b521-fe14336043a8_4739a3b5-fb2a-487b-86a7-22068861478a.jpg/250x188.webp,,True,,,https://www.autoscout24.com/offers/audi-q4-e-tron-50-quattro-led-acc-navi-rfk-shz-leder-carplay-electric-violet-e19ccd02-982d-4fcd-b521-fe14336043a8,"Audi Q4 e-tron 50 quattro LED+ACC+NAVI+RFK+SHZ+LEDER+CARPLAY Add to list 15 € 39,990 10/2023 25,341 km Electric 220 kW (299 hp) Audi Zentrum Köln DE-50968 Köln (Raderberg)",False,,False,False,,1.0,SUV/Off-Road/Pick-Up,5.0,,Violet,Metallic,Black,Full leather,,,511 km,,ok,
da075738-9091-4e35-ab5b-aa473aadf6a3,Audi Q4 e-tron Q4 40 e-tron AssistPlus ACC Komfortpaket LED Kom,Q4 40 e-tron AssistPlus ACC Komfortpaket LED Kom,Q4 e-tron,Q4 e-tron,Automatic,"30,730",€,1.0,False,"57,786 km",02/2023,Electric,150,204,,,bhg Autohandelsgesellschaft mbH,Dealer,9333826,+49 (0)7851 - 892524,4.0,20.0,https://www.autoscout24.com/dealerinfo/bhg-autohandelsgesellschaft-mbh-kehl?atype=C,https://www.autoscout24.com/dealerinfo/bhg-autohandelsgesellschaft-mbh-kehl/imprint,DE-77694 Kehl,DE,77694,Kehl,Straßburger Straße 13,5,https://prod.pictures.autoscout24.net/listing-images/da075738-9091-4e35-ab5b-aa473aadf6a3_06567712-7829-494f-9c14-1678ea26c5b8.jpg/250x188.webp,,True,,,https://www.autoscout24.com/offers/audi-q4-e-tron-q4-40-e-tron-assistplus-acc-komfortpaket-led-kom-electric-black-da075738-9091-4e35-ab5b-aa473aadf6a3,"Audi Q4 e-tron Q4 40 e-tron AssistPlus ACC Komfortpaket LED Kom Add to list 5 € 30,7301 02/2023 57,786 km Electric 150 kW (204 hp) bhg Autohandelsgesellschaft mbH DE-77694 Kehl",True,,True,False,,1.0,SUV/Off-Road/Pick-Up,5.0,5.0,Black,Metallic,Black,Cloth,,,466 km,,ok,
79d9fe10-ead7-46dc-812d-1b7fd5665dcb,Audi Q4 e-tron Q4 40 e-tron AssistPlus ACC Komfortpaket LED Kom,Q4 40 e-tron AssistPlus ACC Komfortpaket LED Kom,Q4 e-tron,Q4 e-tron,Automatic,"30,730",€,1.0,False,"57,786 km",02/2023,Electric,150,204,,,bhg Autohandelsgesellschaft mbH,Dealer,9304132,+49 (0)7851 - 892500,4.5,26.0,https://www.autoscout24.com/dealerinfo/bhg-autohandelsgesellschaft-mbh?atype=C,https://www.autoscout24.com/dealerinfo/bhg-autohandelsgesellschaft-mbh/imprint,DE-77694 Kehl,DE,77694,Kehl,Straßburger Straße 11,5,https://prod.pictures.autoscout24.net/listing-images/79d9fe10-ead7-46dc-812d-1b7fd5665dcb_1902ba63-bfb8-4fb8-8c52-43cf9bce2c9a.jpg/250x188.webp,,True,,,https://www.autoscout24.com/offers/audi-q4-e-tron-q4-40-e-tron-assistplus-acc-komfortpaket-led-kom-electric-black-79d9fe10-ead7-46dc-812d-1b7fd5665dcb,"Audi Q4 e-tron Q4 40 e-tron AssistPlus ACC Komfortpaket LED Kom Add to list 5 € 30,7301 02/2023 57,786 km Electric 150 kW (204 hp) bhg Autohandelsgesellschaft mbH DE-77694 Kehl",True,,True,False,,1.0,SUV/Off-Road/Pick-Up,5.0,5.0,Black,Metallic,Black,Cloth,,,466 km,,ok,
e9d20a92-4d17-4311-ab70-90c050214662,Audi Q4 e-tron 50 quattro CarPlay Kamera AHK LED 19'',50 quattro CarPlay Kamera AHK LED 19'',Q4 e-tron,Q4 e-tron,Automatic,"41,540",€,1.0,False,"24,604 km",06/2023,Electric,220,299,,,Audi Stuttgart GmbH,Dealer,33281,+49 (0)711 - 9880996670,4.5,150.0,https://www.autoscout24.com/dealerinfo/audi-stuttgart-gmbh-stuttgart?atype=C,https://www.autoscout24.com/dealerinfo/audi-stuttgart-gmbh-stuttgart/imprint,DE-70469 Stuttgart,DE,70469,Stuttgart,Heilbronner Str.340,15,https://prod.pictures.autoscout24.net/listing-images/e9d20a92-4d17-4311-ab70-90c050214662_84a5d1a5-6637-4738-bb01-42d0cc4b3666.jpg/250x188.webp,,True,,,https://www.autoscout24.com/offers/audi-q4-e-tron-50-quattro-carplay-kamera-ahk-led-19-electric-grey-e9d20a92-4d17-4311-ab70-90c050214662,"Audi Q4 e-tron 50 quattro CarPlay Kamera AHK LED 19'' Add to list 15 € 41,5401 06/2023 24,604 km Electric 220 kW (299 hp) Audi Stuttgart GmbH DE-70469 Stuttgart",True,,True,False,,1.0,SUV/Off-Road/Pick-Up,5.0,5.0,Grey,,Black,Cloth,,,412 km,,ok,
e2351159-baba-47ee-8b60-71e035cc7177,Audi Q4 e-tron 55 qu 2x S line AHK PANO 360° WÄRMEPUMPE,55 qu 2x S line AHK PANO 360° WÄRMEPUMPE,Q4 e-tron,Q4 e-tron,Automatic,"48,890",€,1.0,False,"12,450 km",03/2024,Electric,250,340,18.1 kWh/100 km (comb.),0 g/km (comb.),Feser Joachim Automobil GmbH,Dealer,34463572,+49 (0)9171 - 9074924,4.5,18.0,https://www.autoscout24.com/dealerinfo/feser-joachim-automobil-gmbh-roth?atype=C,https://www.autoscout24.com/dealerinfo/feser-joachim-automobil-gmbh-roth/imprint,DE-91154 Roth,DE,91154,Roth,Kupferschmiedstr. 2,12,https://prod.pictures.autoscout24.net/listing-images/e2351159-baba-47ee-8b60-71e035cc7177_81126db6-ee87-4c0b-851b-3fefd7a7d498.jpg/250x188.webp,,True,,,https://www.autoscout24.com/offers/audi-q4-e-tron-55-qu-2x-s-line-ahk-pano-360-waermepumpe-electric-white-e2351159-baba-47ee-8b60-71e035cc7177,"Audi Q4 e-tron 55 qu 2x S line AHK PANO 360° WÄRMEPUMPE Add to list 12 € 48,8901 03/2024 12,450 km Electric 250 kW (340 hp) Feser Joachim Automobil GmbH DE-91154 Roth",True,12 months,True,False,,1.0,SUV/Off-Road/Pick-Up,5.0,5.0,White,Metallic,Black,Full leather,,,486 km,,ok,
