listing_id,title,subtitle,variant,model_group,transmission,price,currency,price_superscript,is_conditional_price,mileage,first_registration,fuel_or_powertrain,power_kw,power_hp,wltp_consumption,wltp_co2_emissions,seller_name,seller_type,dealer_id,seller_phone,seller_rating_stars,seller_rating_count,seller_info_url,seller_imprint_url,seller_location,country_code,zip_code,city,street,image_count,primary_image_url,has_360_image,available_now,vat_deductible,delivery_possible,listing_url,raw_card_text
9e46e2f9-d4ca-4ed9-8924-9ae229fb70de,Audi Q4 e-tron 45 basis,45 basis,Q4 e-tron,Q4 e-tron,Automatic,"55,999",€,1,False,"3,530 km",08/2025,Electric,210,286,16.5 kWh/100 km (comb.),0 g/km (comb.),Autohaus Hoff GmbH & Co. KG,Dealer,19342,+49 (0)2241 - 120024,5.0,237,https://www.autoscout24.com/dealerinfo/autohaus-hoff-gmbh-und-co-kg?atype=C,https://www.autoscout24.com/dealerinfo/autohaus-hoff-gmbh-und-co-kg/imprint,DE-53757 Sankt Augustin,DE,53757,Sankt Augustin,Einsteinstraße 17,5,https://prod.pictures.autoscout24.net/listing-images/9e46e2f9-d4ca-4ed9-8924-9ae229fb70de_0242d2c7-e997-48af-94d0-8c4de91db141.jpg/250x188.webp,,True,,,https://www.autoscout24.com/offers/audi-q4-e-tron-45-basis-electric-violet-9e46e2f9-d4ca-4ed9-8924-9ae229fb70de,"Audi Q4 e-tron 45 basis Add to list 5 € 55,9991 From 795 € p.m. financing Compare car insurances 08/2025 3,530 km Electric 210 kW (286 hp) Autohaus Hoff GmbH & Co. KG DE-53757 Sankt Augustin + Show more vehicles"
3c89082a-68b5-466a-86df-76bd132ba4a0,Audi Q4 e-tron 45 qu. AHK LED RFK NAVI HUD VIRTUAL,45 qu. AHK LED RFK NAVI HUD VIRTUAL,Q4 e-tron,Q4 e-tron,Automatic,"36,700",€,1,False,"15,200 km",03/2023,Electric,195,265,,,Audi Berlin GmbH,Dealer,27229,+49 (0)30 - 1663682407,4.0,64,https://www.autoscout24.com/dealerinfo/audi-berlin-gmbh-berlin-10587?atype=C,https://www.autoscout24.com/dealerinfo/audi-berlin-gmbh-berlin-10587/imprint,DE-10587 Berlin,DE,10587,Berlin,Franklinstr. 24,17,https://prod.pictures.autoscout24.net/listing-images/3c89082a-68b5-466a-86df-76bd132ba4a0_d6fddb80-0bc3-41c0-968f-7c78126ed56a.jpg/250x188.webp,,True,,,https://www.autoscout24.com/offers/audi-q4-e-tron-45-qu-ahk-led-rfk-navi-hud-virtual-electric-silver-3c89082a-68b5-466a-86df-76bd132ba4a0,"Audi Q4 e-tron 45 qu. AHK LED RFK NAVI HUD VIRTUAL Add to list 17 € 36,7001 From 369 € p.m. financing From 12,41 € p.m. insurance 03/2023 15,200 km Electric 195 kW (265 hp) Audi Berlin GmbH DE-10587 Berlin + Show more vehicles"
8537bf0e-dbb5-4aed-bd7c-8422b493b0aa,"Audi Q4 e-tron 45 / Navi pro, Standklima, AR-HuD, LED","45 / Navi pro, Standklima, AR-HuD, LED",Q4 e-tron,Q4 e-tron,Automatic,"39,280",€,1,False,"12,000 km",08/2024,Electric,210,286,,,Spindler GmbH & Co. KG,Dealer,20714,+49 (0)931 - 870981721,4.5,61,https://www.autoscout24.com/dealerinfo/spindler-gmbh-und-co-kg-wuerzburg?atype=C,https://www.autoscout24.com/dealerinfo/spindler-gmbh-und-co-kg-wuerzburg/imprint,DE-97076 Würzburg,DE,97076,Würzburg,Nürnberger Str. 126a,20,https://prod.pictures.autoscout24.net/listing-images/8537bf0e-dbb5-4aed-bd7c-8422b493b0aa_93fe4709-72c3-4d9b-8e52-6a545dbcb2f2.jpg/250x188.webp,,True,,,https://www.autoscout24.com/offers/audi-q4-e-tron-45-navi-pro-standklima-ar-hud-led-electric-silver-8537bf0e-dbb5-4aed-bd7c-8422b493b0aa,"Audi Q4 e-tron 45 / Navi pro, Standklima, AR-HuD, LED Add to list 20 € 39,2801 From 579 € p.m. financing From 11,74 € p.m. insurance 08/2024 12,000 km Electric 210 kW (286 hp) Spindler GmbH & Co. KG DE-97076 Würzburg + Show more vehicles"
113286a9-e8a8-4ad0-a9b6-94e103999f38,Audi Q4 e-tron 45 advanced LED Navi AHK SpSi ASI APS SHZ Klima,45 advanced LED Navi AHK SpSi ASI APS SHZ Klima,Q4 e-tron,Q4 e-tron,Automatic,"44,990",€,1,False,"8,595 km",09/2025,Electric,89,121,16.5 kWh/100 km (comb.),0 g/km (comb.),Fritz Thomas GmbH & Co.KG Automobile,Dealer,24853498,+49 (0)5141 - 98450,4.5,21,https://www.autoscout24.com/dealerinfo/fritz-thomas-gmbh-und-co-kg-automobile?atype=C,https://www.autoscout24.com/dealerinfo/fritz-thomas-gmbh-und-co-kg-automobile/imprint,DE-29227 Celle,DE,29227,Celle,Baumschulenweg 7,9,https://prod.pictures.autoscout24.net/listing-images/113286a9-e8a8-4ad0-a9b6-94e103999f38_6cf9ce65-0e57-4385-b538-926a844896fc.jpg/250x188.webp,,True,,,https://www.autoscout24.com/offers/audi-q4-e-tron-45-advanced-led-navi-ahk-spsi-asi-aps-shz-klima-electric-white-113286a9-e8a8-4ad0-a9b6-94e103999f38,"Audi Q4 e-tron 45 advanced LED Navi AHK SpSi ASI APS SHZ Klima Add to list 9 € 44,9901 From 639 € p.m. financing From 11,74 € p.m. insurance 09/2025 8,595 km Electric 89 kW (121 hp) Fritz Thomas GmbH & Co.KG Automobile DE-29227 Celle"
16176b21-1463-4d18-aa7c-440cef1f1124,Audi Q4 e-tron 45 S line LED KAMERA HuD ACC NAVI+ PDC,45 S line LED KAMERA HuD ACC NAVI+ PDC,Q4 e-tron,Q4 e-tron,Automatic,"44,890",€,1,False,"6,377 km",03/2025,Electric,210,286,16.6 kWh/100 km (comb.),0 g/km (comb.),Audi Zentrum Ingolstadt,Dealer,16707,+49 (0)841 - 45090014,4.5,147,https://www.autoscout24.com/dealerinfo/audi-zentrum-ingolstadt?atype=C,https://www.autoscout24.com/dealerinfo/audi-zentrum-ingolstadt/imprint,DE-85057 Ingolstadt,DE,85057,Ingolstadt,Neuburger Str. 75,15,https://prod.pictures.autoscout24.net/listing-images/16176b21-1463-4d18-aa7c-440cef1f1124_b628b56f-5c9d-4a84-aca2-9296b3ff1e3f.jpg/250x188.webp,,True,,,https://www.autoscout24.com/offers/audi-q4-e-tron-45-s-line-led-kamera-hud-acc-navi-pdc-electric-black-16176b21-1463-4d18-aa7c-440cef1f1124,"Audi Q4 e-tron 45 S line LED KAMERA HuD ACC NAVI+ PDC Add to list 15 € 44,8901 03/2025 6,377 km Electric 210 kW (286 hp) Audi Zentrum Ingolstadt DE-85057 Ingolstadt"
24b314b3-406c-4a50-8b71-68f4f74955cb,Audi Q4 e-tron 45 Sportback S-Line Assistenzpaket Keyless uvm.,45 Sportback S-Line Assistenzpaket Keyless uvm.,Q4 e-tron Sportback,Q4 e-tron,Automatic,"51,980",€,1,False,0 km,- (First Registration),Electric,210,286,17.7 kWh/100 km (comb.),0 g/km (comb.),Gottfried Schultz Automobilhandels SE,Dealer,5491,+49 (0)211 - 882303711,4.0,66,https://www.autoscout24.com/dealerinfo/gottfried-schultz-automobilhandels-se-duesseldorf-40233-2?atype=C,https://www.autoscout24.com/dealerinfo/gottfried-schultz-automobilhandels-se-duesseldorf-40233-2/imprint,DE-40233 Düsseldorf,DE,40233,Düsseldorf,Höherweg 210,2,https://prod.pictures.autoscout24.net/listing-images/24b314b3-406c-4a50-8b71-68f4f74955cb_b5e7ac7e-04f2-4ce7-844f-6c29b9f67f54.jpg/250x188.webp,,,,,https://www.autoscout24.com/offers/audi-q4-e-tron-45-sportback-s-line-assistenzpaket-keyless-uvm-electric-white-24b314b3-406c-4a50-8b71-68f4f74955cb,"Audi Q4 e-tron 45 Sportback S-Line Assistenzpaket Keyless uvm. Add to list 2 € 51,9801 - (First Registration) 0 km Electric 210 kW (286 hp) Gottfried Schultz Automobilhandels SE DE-40233 Düsseldorf"
c591d525-7274-4908-b1fa-782083481438,Audi Q4 e-tron,Q4 e-tron,Q4 e-tron,Q4 e-tron,Automatic,"30,880",€,1,False,"47,429 km",04/2023,Electric,150,204,,,AVG ROSIER GmbH,Dealer,52659982,+49 (0)3931 - 680283,,,https://www.autoscout24.com/dealerinfo/avg-rosier-gmbh-stendal-39576-3?atype=C,https://www.autoscout24.com/dealerinfo/avg-rosier-gmbh-stendal-39576-3/imprint,DE-39576 Stendal,DE,39576,Stendal,Arneburger Straße 140,6,https://prod.pictures.autoscout24.net/listing-images/c591d525-7274-4908-b1fa-782083481438_ca1c71d5-39f9-4549-9ca7-19a2d5cc06dc.jpg/250x188.webp,,True,,,https://www.autoscout24.com/offers/audi-q4-e-tron-electric-grey-c591d525-7274-4908-b1fa-782083481438,"Audi Q4 e-tron Add to list 6 € 30,8801 04/2023 47,429 km Electric 150 kW (204 hp) AVG ROSIER GmbH DE-39576 Stendal"
c4bdcb8c-2cd2-432f-96cb-67ae13780c64,Audi Q4 e-tron Sportback 40 LED APP SHZ RÜFA MUFU FSE,Sportback 40 LED APP SHZ RÜFA MUFU FSE,Q4 e-tron Sportback,Q4 e-tron,Automatic,"26,880",€,1,False,"75,099 km",12/2022,Electric,150,204,- (l/100 km),0 g/km (comb.),Gottfried Schultz Automobilhandels SE,Dealer,5497,+49 (0)201 - 565793624,4.0,88,https://www.autoscout24.com/dealerinfo/gottfried-schultz-automobilhandels-se-essen-45143?atype=C,https://www.autoscout24.com/dealerinfo/gottfried-schultz-automobilhandels-se-essen-45143/imprint,DE-45143 Essen,DE,45143,Essen,Altendorfer Str. 50,2,https://prod.pictures.autoscout24.net/listing-images/c4bdcb8c-2cd2-432f-96cb-67ae13780c64_bbe486db-87f5-43a9-817e-28c5e3fb0076.jpg/250x188.webp,,True,,,https://www.autoscout24.com/offers/audi-q4-e-tron-sportback-40-led-app-shz-ruefa-mufu-fse-electric-black-c4bdcb8c-2cd2-432f-96cb-67ae13780c64,"Audi Q4 e-tron Sportback 40 LED APP SHZ RÜFA MUFU FSE Add to list 2 € 26,8801 12/2022 75,099 km Electric 150 kW (204 hp) Gottfried Schultz Automobilhandels SE DE-45143 Essen"
3771bc26-d86c-4202-a734-f038c32eeb88,Audi Q4 e-tron Sportback 50 qu. 2x S line AHK Sonos,Sportback 50 qu. 2x S line AHK Sonos,Q4 e-tron Sportback,Q4 e-tron,Automatic,"34,880",€,1,False,"89,150 km",03/2023,Electric,220,299,17.8 kWh/100 km (comb.),0 g/km (comb.),Feser Biemann Erlangen GmbH,Dealer,34463577,+49 (0)9132 - 9024605,5.0,5,https://www.autoscout24.com/dealerinfo/feser-biemann-erlangen-gmbh-herzogenaurach?atype=C,https://www.autoscout24.com/dealerinfo/feser-biemann-erlangen-gmbh-herzogenaurach/imprint,DE-91074 Herzogenaurach,DE,91074,Herzogenaurach,Werner-Heisenberg-Straße 2,15,https://prod.pictures.autoscout24.net/listing-images/3771bc26-d86c-4202-a734-f038c32eeb88_9954abf6-1ef2-4f90-aefc-36d7c02c1d7c.jpg/250x188.webp,,True,,,https://www.autoscout24.com/offers/audi-q4-e-tron-sportback-50-qu-2x-s-line-ahk-sonos-electric-black-3771bc26-d86c-4202-a734-f038c32eeb88,"Audi Q4 e-tron Sportback 50 qu. 2x S line AHK Sonos Add to list 15 € 34,8801 03/2023 89,150 km Electric 220 kW (299 hp) Feser Biemann Erlangen GmbH DE-91074 Herzogenaurach"
71245467-5c1f-4ab9-b997-dd497b430628,Audi Q4 e-tron Q4 Sportback e-tron S Line Optikpaket schwarz,Q4 Sportback e-tron S Line Optikpaket schwarz,Q4 e-tron Sportback,Q4 e-tron,Automatic,"38,779",€,1,False,"11,660 km",11/2023,Electric,150,204,16.9 kWh/100 km (comb.),0 g/km (comb.),Autohaus Neu GmbH,Dealer,48953260,+49 (0)3821 - 87990,5.0,2,https://www.autoscout24.com/dealerinfo/autohaus-neu-gmbh-barth-18311-1?atype=C,https://www.autoscout24.com/dealerinfo/autohaus-neu-gmbh-barth-18311-1/imprint,DE-18311 Barth,DE,18311,Barth,Am Mastweg 23,14,https://prod.pictures.autoscout24.net/listing-images/71245467-5c1f-4ab9-b997-dd497b430628_4e48e436-8c54-4635-8cce-d1995a4d97f2.jpg/250x188.webp,,True,,,https://www.autoscout24.com/offers/audi-q4-e-tron-q4-sportback-e-tron-s-line-optikpaket-schwarz-electric-grey-71245467-5c1f-4ab9-b997-dd497b430628,"Audi Q4 e-tron Q4 Sportback e-tron S Line Optikpaket schwarz Add to list 14 € 38,7791 11/2023 11,660 km Electric 150 kW (204 hp) Autohaus Neu GmbH DE-18311 Barth"
