listing_id,title,subtitle,variant,model_group,transmission,price,currency,price_superscript,is_conditional_price,mileage,first_registration,fuel_or_powertrain,power_kw,power_hp,wltp_consumption,wltp_co2_emissions,seller_name,seller_type,dealer_id,seller_phone,seller_rating_stars,seller_rating_count,seller_info_url,seller_imprint_url,seller_location,country_code,zip_code,city,street,image_count,primary_image_url,has_360_image,available_now,vat_deductible,delivery_possible,listing_url,raw_card_text
949f4b04-de19-440f-a34f-b2e006acb1cc,Audi Q4 e-tron 40 e-tron Assistenz-Paket plus Kamera Acc Navi 19,40 e-tron Assistenz-Paket plus Kamera Acc Navi 19,Q4 e-tron,Q4 e-tron,Automatic,"29,975",€,1,False,"58,351 km",03/2023,Electric,150,204,,,Autohaus Hoff GmbH & Co. KG,Dealer,19342,+49 (0)2241 - 120024,5.0,237,https://www.autoscout24.com/dealerinfo/autohaus-hoff-gmbh-und-co-kg?atype=C,https://www.autoscout24.com/dealerinfo/autohaus-hoff-gmbh-und-co-kg/imprint,DE-53757 Sankt Augustin,DE,53757,Sankt Augustin,Einsteinstraße 17,7,https://prod.pictures.autoscout24.net/listing-images/949f4b04-de19-440f-a34f-b2e006acb1cc_d590283d-3605-4c6e-b9ea-bea3fc83c844.jpg/250x188.webp,,True,,,https://www.autoscout24.com/offers/audi-q4-e-tron-40-e-tron-assistenz-paket-plus-kamera-acc-navi-19-electric-blue-949f4b04-de19-440f-a34f-b2e006acb1cc,"Audi Q4 e-tron 40 e-tron Assistenz-Paket plus Kamera Acc Navi 19 Add to list 7 € 29,9751 From 426 € p.m. financing Compare car insurances 03/2023 58,351 km Electric 150 kW (204 hp) Autohaus Hoff GmbH & Co. KG DE-53757 Sankt Augustin + Show more vehicles"
dc0cbab2-820f-4aa6-9f81-f2d72f4e91f7,Audi Q4 e-tron 40 Navi AHK MatrixLED HUD,40 Navi AHK MatrixLED HUD,Q4 e-tron,Q4 e-tron,Automatic,"43,880",€,1,False,"4,256 km",12/2025,Electric,150,204,17.0 kWh/100 km (comb.),0 g/km (comb.),Automobile Werner Handel und Service GmbH,Dealer,16453340,+49 (0)3727 - 6210166,4.5,20,https://www.autoscout24.com/dealerinfo/automobile-werner-handel-und-service-gmbh?atype=C,https://www.autoscout24.com/dealerinfo/automobile-werner-handel-und-service-gmbh/imprint,DE-09648 Mittweida,DE,09648,Mittweida,Chemnitzer Strasse 32 A-b,15,https://prod.pictures.autoscout24.net/listing-images/dc0cbab2-820f-4aa6-9f81-f2d72f4e91f7_ec9eba54-32d7-4bb5-a17d-c8ce29186a53.jpg/250x188.webp,,True,,,https://www.autoscout24.com/offers/audi-q4-e-tron-40-navi-ahk-matrixled-hud-electric-grey-dc0cbab2-820f-4aa6-9f81-f2d72f4e91f7,"Audi Q4 e-tron 40 Navi AHK MatrixLED HUD Add to list 15 € 43,8801 From 623 € p.m. financing From 12,41 € p.m. insurance 12/2025 4,256 km Electric 150 kW (204 hp) Automobile Werner Handel und Service GmbH DE-09648 Mittweida"
7ddeee00-93a0-4aaa-914f-9526bcf13b11,Audi Q4 e-tron,Q4 e-tron,Q4 e-tron,Q4 e-tron,Automatic,"27,480",€,1,False,"35,874 km",11/2022,Electric,150,204,16.9 kWh/100 km (comb.),0 g/km (comb.),Fischer Automobile GmbH & Co. KG,Dealer,8748486,+49 (0)9628 - 923760,4.5,64,https://www.autoscout24.com/dealerinfo/fischer-automobile-gmbh-und-co-kg?atype=C,https://www.autoscout24.com/dealerinfo/fischer-automobile-gmbh-und-co-kg/imprint,DE-92289 Ursensollen,DE,92289,Ursensollen,Juraallee 1-3,27,https://prod.pictures.autoscout24.net/listing-images/7ddeee00-93a0-4aaa-914f-9526bcf13b11_ec910b8a-9465-416f-b785-474251588bb2.jpg/250x188.webp,,True,,,https://www.autoscout24.com/offers/audi-q4-e-tron-electric-grey-7ddeee00-93a0-4aaa-914f-9526bcf13b11,"Audi Q4 e-tron Add to list 27 € 27,4801 From 390 € p.m. financing From 12,41 € p.m. insurance 11/2022 35,874 km Electric 150 kW (204 hp) Fischer Automobile GmbH & Co. KG DE-92289 Ursensollen + Show more vehicles"
33674c71-4d3d-4061-94ed-3e5d501c3c2a,Audi Q4 e-tron 55 Sportback Quattro 82kWh S Line/ACC,55 Sportback Quattro 82kWh S Line/ACC,,,Automatic,"45,044",€,1,False,"33,315 km",03/2024,Electric,250,340,18.9 kWh/100 km (comb.),0 g/km (comb.),auto mega store gmbh,Dealer,14661888,+49 (0)871 - 14383040,4.5,164,https://www.autoscout24.com/dealerinfo/auto-mega-store-gmbh?atype=C,https://www.autoscout24.com/dealerinfo/auto-mega-store-gmbh/imprint,DE-84030 Ergolding,DE,84030,Ergolding,Meisenstr. 7,6,https://prod.pictures.autoscout24.net/listing-images/33674c71-4d3d-4061-94ed-3e5d501c3c2a_59ee1003-2e80-474c-b693-90c54e927844.jpg/250x188.webp,,True,,,https://www.autoscout24.com/offers/audi-q4-e-tron-55-sportback-quattro-82kwh-s-line-acc-electric-blue-33674c71-4d3d-4061-94ed-3e5d501c3c2a,"Audi Q4 e-tron 55 Sportback Quattro 82kWh S Line/ACC Add to list 6 € 45,0441 From 640 € p.m. financing From 17,59 € p.m. insurance 03/2024 33,315 km Electric 250 kW (340 hp) auto mega store gmbh DE-84030 Ergolding"
6f261e18-488f-44e8-afe4-c0e41bd5f2af,Audi Q4 e-tron Q4 Sportback e-tron,Q4 Sportback e-tron,Q4 e-tron Sportback,Q4 e-tron,Automatic,"45,652",€,1,False,0 km,- (First Registration),Electric,150,204,15.7 kWh/100 km (comb.),0 g/km (comb.),Gohm + Graf Hardenberg GmbH,Dealer,60174566,+49 (0)7731 - 16295092,,,https://www.autoscout24.com/dealerinfo/gohm-graf-hardenberg-gmbh-singen-78224-2?atype=C,https://www.autoscout24.com/dealerinfo/gohm-graf-hardenberg-gmbh-singen-78224-2/imprint,DE-78224 Singen,DE,78224,Singen,Hochwaldstr. 20,7,https://prod.pictures.autoscout24.net/listing-images/6f261e18-488f-44e8-afe4-c0e41bd5f2af_c98893e4-527a-4f54-a504-61337e39d244.jpg/250x188.webp,,,,,https://www.autoscout24.com/offers/audi-q4-e-tron-q4-sportback-e-tron-electric-grey-6f261e18-488f-44e8-afe4-c0e41bd5f2af,"Audi Q4 e-tron Q4 Sportback e-tron Add to list 7 € 45,6521 - (First Registration) 0 km Electric 150 kW (204 hp) Gohm + Graf Hardenberg GmbH DE-78224 Singen"
a8f2d9d7-a372-4647-b8c7-f1467fd8b4fc,Audi Q4 e-tron Q4 Sportback e-tron,Q4 Sportback e-tron,Q4 e-tron Sportback,Q4 e-tron,Automatic,"50,652",€,1,False,0 km,- (First Registration),Electric,,,15.9 kWh/100 km (comb.),0 g/km (comb.),Gohm + Graf Hardenberg GmbH,Dealer,60174566,+49 (0)7731 - 16295092,,,https://www.autoscout24.com/dealerinfo/gohm-graf-hardenberg-gmbh-singen-78224-2?atype=C,https://www.autoscout24.com/dealerinfo/gohm-graf-hardenberg-gmbh-singen-78224-2/imprint,DE-78224 Singen,DE,78224,Singen,Hochwaldstr. 20,7,https://prod.pictures.autoscout24.net/listing-images/a8f2d9d7-a372-4647-b8c7-f1467fd8b4fc_17bcc292-c8bb-41aa-888f-596f41b00988.jpg/250x188.webp,,,,,https://www.autoscout24.com/offers/audi-q4-e-tron-q4-sportback-e-tron-electric-green-a8f2d9d7-a372-4647-b8c7-f1467fd8b4fc,"Audi Q4 e-tron Q4 Sportback e-tron Add to list 7 € 50,6521 - (First Registration) 0 km Electric -/- Gohm + Graf Hardenberg GmbH DE-78224 Singen"
31c1c8c7-3f0f-4725-962f-8c3cd11061b2,Audi Q4 e-tron Q4 SUV e-tron,Q4 SUV e-tron,Q4 e-tron,Q4 e-tron,Automatic,"48,542",€,1,False,0 km,- (First Registration),Electric,150,204,16.0 kWh/100 km (comb.),0 g/km (comb.),Gohm + Graf Hardenberg GmbH,Dealer,60174566,+49 (0)7731 - 16295092,,,https://www.autoscout24.com/dealerinfo/gohm-graf-hardenberg-gmbh-singen-78224-2?atype=C,https://www.autoscout24.com/dealerinfo/gohm-graf-hardenberg-gmbh-singen-78224-2/imprint,DE-78224 Singen,DE,78224,Singen,Hochwaldstr. 20,7,https://prod.pictures.autoscout24.net/listing-images/31c1c8c7-3f0f-4725-962f-8c3cd11061b2_a05fa0d8-79a6-4854-9dd4-1625c0b921b3.jpg/250x188.webp,,,,,https://www.autoscout24.com/offers/audi-q4-e-tron-q4-suv-e-tron-electric-grey-31c1c8c7-3f0f-4725-962f-8c3cd11061b2,"Audi Q4 e-tron Q4 SUV e-tron Add to list 7 € 48,5421 - (First Registration) 0 km Electric 150 kW (204 hp) Gohm + Graf Hardenberg GmbH DE-78224 Singen"
e1c70249-b540-4921-8091-609bd3bfa5fe,Audi Q4 e-tron Q4 Sportback e-tron performance,Q4 Sportback e-tron performance,Q4 e-tron Sportback,Q4 e-tron,Automatic,"62,762",€,1,False,0 km,- (First Registration),Electric,,,16.2 kWh/100 km (comb.),0 g/km (comb.),Gohm + Graf Hardenberg GmbH,Dealer,60174566,+49 (0)7731 - 16295092,,,https://www.autoscout24.com/dealerinfo/gohm-graf-hardenberg-gmbh-singen-78224-2?atype=C,https://www.autoscout24.com/dealerinfo/gohm-graf-hardenberg-gmbh-singen-78224-2/imprint,DE-78224 Singen,DE,78224,Singen,Hochwaldstr. 20,7,https://prod.pictures.autoscout24.net/listing-images/e1c70249-b540-4921-8091-609bd3bfa5fe_34f1c6b3-9ad4-474c-b257-fca5cdcc0bdc.jpg/250x188.webp,,,,,https://www.autoscout24.com/offers/audi-q4-e-tron-q4-sportback-e-tron-performance-electric-green-e1c70249-b540-4921-8091-609bd3bfa5fe,"Audi Q4 e-tron Q4 Sportback e-tron performance Add to list 7 € 62,7621 - (First Registration) 0 km Electric -/- Gohm + Graf Hardenberg GmbH DE-78224 Singen"
6eef82c6-6c7d-45ca-b012-e37815db85a8,Audi Q4 e-tron Q4 SUV e-tron,Q4 SUV e-tron,Q4 e-tron,Q4 e-tron,Automatic,"53,202",€,1,False,0 km,- (First Registration),Electric,150,204,16.3 kWh/100 km (comb.),0 g/km (comb.),Gohm + Graf Hardenberg GmbH,Dealer,60174566,+49 (0)7731 - 16295092,,,https://www.autoscout24.com/dealerinfo/gohm-graf-hardenberg-gmbh-singen-78224-2?atype=C,https://www.autoscout24.com/dealerinfo/gohm-graf-hardenberg-gmbh-singen-78224-2/imprint,DE-78224 Singen,DE,78224,Singen,Hochwaldstr. 20,7,https://prod.pictures.autoscout24.net/listing-images/6eef82c6-6c7d-45ca-b012-e37815db85a8_f788fa4d-503b-45a3-828c-58af57d2f46d.jpg/250x188.webp,,,,,https://www.autoscout24.com/offers/audi-q4-e-tron-q4-suv-e-tron-electric-green-6eef82c6-6c7d-45ca-b012-e37815db85a8,"Audi Q4 e-tron Q4 SUV e-tron Add to list 7 € 53,2021 - (First Registration) 0 km Electric 150 kW (204 hp) Gohm + Graf Hardenberg GmbH DE-78224 Singen"
85f7d335-f9d7-4ace-9f0c-4d97fe6399c3,Audi Q4 e-tron Q4 SUV e-tron quattro performance,Q4 SUV e-tron quattro performance,Q4 e-tron,Q4 e-tron,Automatic,"70,312",€,1,False,0 km,- (First Registration),Electric,250,340,17.8 kWh/100 km (comb.),0 g/km (comb.),Gohm + Graf Hardenberg GmbH,Dealer,60174566,+49 (0)7731 - 16295092,,,https://www.autoscout24.com/dealerinfo/gohm-graf-hardenberg-gmbh-singen-78224-2?atype=C,https://www.autoscout24.com/dealerinfo/gohm-graf-hardenberg-gmbh-singen-78224-2/imprint,DE-78224 Singen,DE,78224,Singen,Hochwaldstr. 20,7,https://prod.pictures.autoscout24.net/listing-images/85f7d335-f9d7-4ace-9f0c-4d97fe6399c3_a5f8ce75-2203-46ef-9cc0-0c4599610902.jpg/250x188.webp,,,,,https://www.autoscout24.com/offers/audi-q4-e-tron-q4-suv-e-tron-quattro-performance-electric-green-85f7d335-f9d7-4ace-9f0c-4d97fe6399c3,"Audi Q4 e-tron Q4 SUV e-tron quattro performance Add to list 7 € 70,3121 - (First Registration) 0 km Electric 250 kW (340 hp) Gohm + Graf Hardenberg GmbH DE-78224 Singen"
6c9f1c69-41a9-4c40-98a3-7737c7b66bf4,Audi Q4 e-tron Q4 SUV e-tron,Q4 SUV e-tron,Q4 e-tron,Q4 e-tron,Automatic,"48,542",€,1,False,0 km,- (First Registration),Electric,150,204,16.0 kWh/100 km (comb.),0 g/km (comb.),Gohm + Graf Hardenberg GmbH,Dealer,60174566,+49 (0)7731 - 16295092,,,https://www.autoscout24.com/dealerinfo/gohm-graf-hardenberg-gmbh-singen-78224-2?atype=C,https://www.autoscout24.com/dealerinfo/gohm-graf-hardenberg-gmbh-singen-78224-2/imprint,DE-78224 Singen,DE,78224,Singen,Hochwaldstr. 20,7,https://prod.pictures.autoscout24.net/listing-images/6c9f1c69-41a9-4c40-98a3-7737c7b66bf4_ecfecfd9-38cf-442b-a13b-2a6f3761cd11.jpg/250x188.webp,,,,,https://www.autoscout24.com/offers/audi-q4-e-tron-q4-suv-e-tron-electric-grey-6c9f1c69-41a9-4c40-98a3-7737c7b66bf4,"Audi Q4 e-tron Q4 SUV e-tron Add to list 7 € 48,5421 - (First Registration) 0 km Electric 150 kW (204 hp) Gohm + Graf Hardenberg GmbH DE-78224 Singen"
329bb78b-64ca-4235-aea1-2b66b7627af3,Audi Q4 e-tron Q4 Sportback e-tron performance,Q4 Sportback e-tron performance,Q4 e-tron Sportback,Q4 e-tron,Automatic,"59,202",€,1,False,0 km,- (First Registration),Electric,210,286,16.0 kWh/100 km (comb.),0 g/km (comb.),Gohm + Graf Hardenberg GmbH,Dealer,60174566,+49 (0)7731 - 16295092,,,https://www.autoscout24.com/dealerinfo/gohm-graf-hardenberg-gmbh-singen-78224-2?atype=C,https://www.autoscout24.com/dealerinfo/gohm-graf-hardenberg-gmbh-singen-78224-2/imprint,DE-78224 Singen,DE,78224,Singen,Hochwaldstr. 20,7,https://prod.pictures.autoscout24.net/listing-images/329bb78b-64ca-4235-aea1-2b66b7627af3_2d6b5c7c-5b42-4cc2-9340-87c49f54dfe9.jpg/250x188.webp,,,,,https://www.autoscout24.com/offers/audi-q4-e-tron-q4-sportback-e-tron-performance-electric-black-329bb78b-64ca-4235-aea1-2b66b7627af3,"Audi Q4 e-tron Q4 Sportback e-tron performance Add to list 7 € 59,2021 - (First Registration) 0 km Electric 210 kW (286 hp) Gohm + Graf Hardenberg GmbH DE-78224 Singen"
2d75fabd-c9de-4c72-aef3-1a1b6f64e35b,Audi Q4 e-tron Q4 SUV e-tron quattro,Q4 SUV e-tron quattro,Q4 e-tron,Q4 e-tron,Automatic,"59,092",€,1,False,0 km,- (First Registration),Electric,220,299,17.1 kWh/100 km (comb.),0 g/km (comb.),Gohm + Graf Hardenberg GmbH,Dealer,60174566,+49 (0)7731 - 16295092,,,https://www.autoscout24.com/dealerinfo/gohm-graf-hardenberg-gmbh-singen-78224-2?atype=C,https://www.autoscout24.com/dealerinfo/gohm-graf-hardenberg-gmbh-singen-78224-2/imprint,DE-78224 Singen,DE,78224,Singen,Hochwaldstr. 20,7,https://prod.pictures.autoscout24.net/listing-images/2d75fabd-c9de-4c72-aef3-1a1b6f64e35b_ebe96ea3-8af3-4642-be8d-692f12e4371f.jpg/250x188.webp,,,,,https://www.autoscout24.com/offers/audi-q4-e-tron-q4-suv-e-tron-quattro-electric-white-2d75fabd-c9de-4c72-aef3-1a1b6f64e35b,"Audi Q4 e-tron Q4 SUV e-tron quattro Add to list 7 € 59,0921 - (First Registration) 0 km Electric 220 kW (299 hp) Gohm + Graf Hardenberg GmbH DE-78224 Singen"
6fac6538-1e5d-4242-a9f8-93adbcae47ce,Audi Q4 e-tron Q4 SUV e-tron performance,Q4 SUV e-tron performance,Q4 e-tron,Q4 e-tron,Automatic,"57,312",€,1,False,0 km,- (First Registration),Electric,210,286,16.6 kWh/100 km (comb.),0 g/km (comb.),Gohm + Graf Hardenberg GmbH,Dealer,60174566,+49 (0)7731 - 16295092,,,https://www.autoscout24.com/dealerinfo/gohm-graf-hardenberg-gmbh-singen-78224-2?atype=C,https://www.autoscout24.com/dealerinfo/gohm-graf-hardenberg-gmbh-singen-78224-2/imprint,DE-78224 Singen,DE,78224,Singen,Hochwaldstr. 20,7,https://prod.pictures.autoscout24.net/listing-images/6fac6538-1e5d-4242-a9f8-93adbcae47ce_5411759e-4c60-49d5-a922-257d7364af80.jpg/250x188.webp,,,,,https://www.autoscout24.com/offers/audi-q4-e-tron-q4-suv-e-tron-performance-electric-white-6fac6538-1e5d-4242-a9f8-93adbcae47ce,"Audi Q4 e-tron Q4 SUV e-tron performance Add to list 7 € 57,3121 - (First Registration) 0 km Electric 210 kW (286 hp) Gohm + Graf Hardenberg GmbH DE-78224 Singen"
